Agency,Contract Number,Caption,Award Amount,Base Contract Period,Multi Year,Option Yrs.Remaining,Market Type,NFP,LSDBE,Vendor Name
Department of the Environment,DCKG-2008-C-0233,Create Full and Complete Engineering Designs for Stream Restoration and Sewer Renovation,211448.79,3/30/2009 -                    3/29/2010,No,Base,Open,No,No,Greenhorne and OMara Inc
Department of the Environment,DCKG-2009-T-2224,Energy Supply Kits,531680,7/1/2009 -                    9/30/2009,No,Base,GSA,No,No,"Noble Sales Co., Inc"
Department of the Environment,DCAM-2010-T-0012,High Density Mobile Filing Systems & Installation,120104,2/25/2010 -                    9/30/2010,No,Base,GSA,No,No,Spacesaver Storage Systems
Department of Transportation,POKA-2003-C-0048-JJ,Citywide Pavement Restoration (Local Streets),13700000,4/15/2007 -                    4/14/2008,No,3,Open,No,No,Lane Construction Corporation
Department of Transportation,POKA-2005-C-0015-LS,Fy-05 First Citywide Alley Contract,5086251.5,5/10/2007 -                    5/12/2008,No,Base,Set Aside,No,Local,Fort Myer Construction Corporation
Department of Transportation,POKA-2006-B-0002-VH,"Fox Hall Road Safety Improvements, NW,  from Canal Road to Nebraska Avenue, NW.",4031813.51,6/27/2007 -                    6/24/2008,No,Base,Open,No,Local,Fort Myer Construction Corporation
Department of Transportation,POKA-2004-C-0032-KH,Tree Planting Services,724550,10/7/2007 -                    10/6/2008,No,3,Open,No,No,Lorenz Lawn and Landscape
Department of Transportation,DCKA-2007-B-0092,Snow and Ice Removal Services for National Highway System (NHS),1640900,12/2/2007 -                    12/1/2008,No,Base,Open,No,Local                                     Small,Capitol Paving of DC Inc
Department of Transportation,DCKA-2007-C-0033,Fy-07 First Citywide Sidewalk Contract,10791906,12/14/2007 -                    12/18/2008,No,Base,Set Aside,No,Local                                     Small,Capitol Paving of DC Inc
Department of Transportation,DCKA-2008-C-0024,Blue Bus Transportation Service,940000,12/31/2007 -                    12/30/2008,No,Base,Letter Contract,Yes,No,Georgetown Business Improvement District
Department of Transportation,DCKA-2007-C-0105,Program management for Various Projects in the Anacostia Waterfront Initiative (AWI),26835839,2/1/2008 -                    1/31/2010,No,Base,Open,No,No,HNTB District of Columbia PC
Department of Transportation,DCKA-2007-C-0103,FY-07 Heritage Trail Signage Program,243947,2/6/2008 -                    2/7/2009,No,Base,Open,No,Local,Fort Myer Construction Corporation
Department of Transportation,DCKT-2007-C-0026,Auto. Body Repair Services on Light & Medium Vehicles,200000,3/13/2008 -                    3/12/2009,No,1,Open,No,No,Market Auto
Department of Transportation,POKA-2006-c-0015-MN,Construction of a Street and Bridge Maintenance Facility for DDOT,2893762,7/31/2008 -                    12/15/2009,No,Base,oPEN,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,Prince Construction Company
Department of Transportation,DCKA-2007-C-0092,Snow and Ice Removal Services,1640900,12/2/2009 -                    12/1/2010,Yes,2,Open,No,No,Capitol Paving of DC Inc
Department of Transportation,DCKA-2007-C-0033,Fy-07 First Citywide Sidewalk Contract,10791906,12/15/2009 -                    12/14/2010,No,2,Open,No,No,Capitol Paving of DC Inc
Department of Transportation,DCKA-2009-C-0171,"Georgia Avenue,Great Streets Middle Georgia Avenue/Petworth Design Between Otis Place and Webster Street NW",7906624.05,3/18/2010 -                    3/17/2011,No,Base,Open,No,No,Capitol Paving of DC Inc
DEPARTMENT OF TRANSPORTATION,CW5662,ArcGIS Maintenance Tool Upgrade,181959.87,7/6/2010 -                    1/30/2011,No,Base Period,Open,No,,GANNETT FLEMING INC
DEPARTMENT OF TRANSPORTATION,CW8632,Sole Source - IT - Cycon Publishing Inc.,54600,7/31/2010 -                    7/30/2011,No,Base Period,Open,No,,CYCON PUBLISHING INC.
DEPARTMENT OF TRANSPORTATION,CW8615,Transportation Online Permitting System,249800,8/30/2010 -                    6/9/2011,No,Base Period,Open,No,,PRIME SOURCE TECHNOLOGIES LLC
DEPARTMENT OF TRANSPORTATION,CW8544,HIGHWAY PERFORMANCE MONITORING SYSTEM,245985,3/27/2011 -                    11/27/2011,No,Base Period,Open,No,,GANNETT FLEMING INC
DEPARTMENT OF TRANSPORTATION,CW15150,IT - Transportation Online Permitting System - Prime Source Tech,378968.65,1/26/2012 -                    9/29/2012,No,Base Period,Open,No,,PRIME SOURCE TECHNOLOGIES LLC
DEPARTMENT OF TRANSPORTATION,CW16164,DCPO-2012-C-0059 DDOT Enterprise DashBoard Application,246400,3/8/2012 -                    3/7/2013,No,Base Period,Open,No,,"JMT/CWP, JV"
DEPARTMENT OF TRANSPORTATION,CW15242,IT - QuicNet Upgrade - McCain,308800,3/8/2012 -                    9/7/2012,No,Base Period,Open,No,,MCCAIN INC.
DEPARTMENT OF TRANSPORTATION,CW15708,Flusher Truck,225261,6/14/2012 -                    12/11/2012,No,Base Period,Open,No,,"GRANTURK EQUIPMENT COMPANY, IN"
DEPARTMENT OF TRANSPORTATION,CW16246,Design Build Services for the H Street - Benning Road Streetcar Implementation Project,50000000,6/27/2012 -                    8/26/2014,No,Base Period,Open,No,,"Dean-Facchina, LLC"
DEPARTMENT OF TRANSPORTATION,CW17801,All Wheel Drive Cargo Van with Up Fit,110646.12,9/12/2012 -                    3/11/2013,No,Base Period,Open,No,,"CRISWELL CHEVEROLET, INC."
Department of Transportation,DCKA-2012-C-0070,Federal Aid Citywide Streetlight Construction Contract,2195204.9,10/18/2012 -                    10/18/2013,No,Base Year,Open,No,No,"M.C. Dean, Inc."
DEPARTMENT OF TRANSPORTATION,CW19427,TOPS Maintenance Services - Prime Source Technologies,280797.29,12/9/2012 -                    12/8/2013,No,Base Period,Open,No,,PRIME SOURCE TECHNOLOGIES LLC
Department of Transportation,DCKA-2012-C-0076,DDOT Centralized Dynamic Message Signs (DMS) System Design and Integration: City-wide Installation of 11 Dynamic Message Signs,6104188.32,2/18/2013 -                    8/19/2014,No,Base Year,Open,No,,"M.C. Dean, Inc."
Department of Transportation,DCKA-2012-B-0089,FY-12 Local Pavement Restoration Citywide Contract,11145855,4/10/2013 -                    10/6/2013,No,Base Year,Open,No,,"Capitol Paving of D.C., Inc."
DEPARTMENT OF TRANSPORTATION,CW21481,Thermoplastic Melter Truck,119765,4/24/2013 -                    8/22/2013,No,Base Period,Open,No,,"K. NEAL INTERNATIONAL TRUCK, I"
Department of Transportation,DCKA-2012-C-0086,FY-12 Replacing and Upgrading Damaged Guiderail and Impact Attenuators,2566593.2,5/1/2013 -                    5/1/2015,No,Base Year,Open Market with 20% DBE Goal,No,,Fort Myer Construction Corporation
Department of Transportation,DCKA-2013-C-0005,Construction of Pedestrian/Bicycle Bridge,8475253.5,8/19/2013 -                    1/6/2015,No,Base Year,,No,,"Corman Construction, Inc"
DEPARTMENT OF TRANSPORTATION,CW23877,4x4 Pickup with Aerial Lift,216186,9/3/2013 -                    12/3/2013,No,Base Period,Open,No,,ALTEC INDUSTRIES INC
DEPARTMENT OF TRANSPORTATION,CW24473,Chevy Mid Size Sedan,79445.23,9/12/2013 -                    9/30/2013,No,Base Period,Open,No,,"CRISWELL CHEVEROLET, INC."
Department of Youth and Rehabilitation Services,DCJZ-2008-R-0010,Arbiter Services,639538,1/1/2008 -                    12/31/2008,No,Base,Sole Source,No,No,Grace M. Lopes
Department of Youth and Rehabilitation Services,DCJA-2006-D-DL-025,Community Re-entry Services,988524,1/30/2008 -                    1/29/2009,No,Base,Sole Source,Yes,No,Peaceoholics Inc
Department of Youth and Rehabilitation Services,POJA-2006-HC-0041-03,Supervised Independent Living Services,250000,4/3/2008 -                    4/2/2009,No,2,Open,Yes,No,The Center on Juvenile and Criminal Justice
Department of Youth and Rehabilitation Services,POJA-2006-H-0040-07,Therapeutic Family Homes,350000,4/13/2008 -                    4/12/2009,No,2,Open,Yes,No,DC Care Center
Department of Youth and Rehabilitation Services,POJA-2006-H-0040-09,Therapeutic Family Homes,350000,5/24/2008 -                    5/23/2009,No,2,Open,Yes,No,KOBA Institute
Department of Youth and Rehabilitation Services,POJA-2006-H-0040-06,Therapeutic Family Homes,892389.5,5/24/2008 -                    5/23/2009,No,2,Open,Yes,No,Universal Healthcare Management Services Foundation
Department of Youth and Rehabilitation Services,DCJZ-2008-H-0002,Residential Treatment Services,950000,7/1/2008 -                    6/30/2009,No,Base,Open,Yes,No,Glen Mills Schools
Department of Youth and Rehabilitation Services,DCJZ-2008-H-0013,Residential Treatment Services,100000,8/8/2008 -                    8/7/2009,No,Base,Open,Yes,No,Metropolitan Educational Solutions
Department of Youth and Rehabilitation Services,DCJZ-2008-H-0016,Residential Treatment Services,900000,10/1/2008 -                    9/30/2009,No,1,Open,Yes,No,Youth Villages Inc
Department of Youth and Rehabilitation Services,DCJZ-2008-H-0001,Residential Treatment Services,900000,12/1/2008 -                    11/30/2009,No,Base,Open,No,No,Rite of Passage Inc
Department of Youth and Rehabilitation Services,POJA-2006-H-0037-04,Third Party Monitoring Services,800000,12/20/2008 -                    12/19/2009,No,3,Open,Yes,Local,Sasha Bruce Youthwork Inc
Department of Youth and Rehabilitation Services,DCJZ-2004-R-0010,Court Appointed Special Arbiter,647650,1/1/2009 -                    12/31/2009,No,Base,Sole Source,No,No,Grace M. Lopes
Department of Youth and Rehabilitation Services,POJA-2006-H-0040-03,Therapeutic Family Homes,900000,4/27/2009 -                    4/26/2010,No,3,Open,No,Local                                     Small,"Comfort House, LLC"
Department of Youth and Rehabilitation Services,POJA-2006-H-0040-09,Therapeutic Family Homes,900000,5/24/2009 -                    5/23/2010,No,3,Open,Yes,No,KOBA Institute
Department of Youth and Rehabilitation Services,DCJZ-2008-H-0002,Residential Treatment Services,900000,7/1/2009 -                    6/30/2010,No,1,Agreement,Yes,No,Glen Mills Schools
Department of Youth and Rehabilitation Services,DCJZ-2008-H-0016,Residential Treatment Services,900000,10/1/2009 -                    9/30/2010,No,2,Open,Yes,No,Youth Villages Inc
Department of Youth and Rehabilitation Services,DCJZ-2008-H-0011,Residential Treatment Services for Youth,900000,10/1/2009 -                    1/31/2010,No,1,Open,No,No,Florence Crittenton Services of Baltimore
Department of Youth and Rehabilitation Services,DCJZ-2008-H-0001,Residential Treatment Services,900000,12/1/2009 -                    11/30/2010,No,Base,Open,No,No,Rite of Passage Inc
Department of Youth and Rehabilitation Services,DCJZ-2010-H-0013,Medical Staffing Support Services,500000,4/8/2010 -                    4/7/2011,No,base,Open,No,Local                                     Small,Magnificus Corporation
Department of Youth and Rehabilitation Services,DCJZ-2010-H-0014,Medical Staffing Support Services,500000,5/5/2010 -                    5/4/2011,No,base,Open,No,Local                                     Small,Motir Services
Department of Youth and Rehabilitation Services,DCJZ-2010-H-0012,Medical Staffing Support Services,500000,5/11/2010 -                    5/10/2011,No,base,Open,No,Local                                     Small,Medical Staffing Network
Department of Youth and Rehabilitation Services,DCJZ-2010-H-0011,Medical Staffing Support Services,500000,5/11/2010 -                    5/10/2011,No,base,Open,No,Local                                     Small,Altos Federal group Inc
Department of Youth and Rehabilitation Services,DCJZ-2010-H-0029,Therapeutic Family Homes,900000,6/24/2010 -                    6/23/2011,No,Base,Open,No,No,Trinity Youth Services
Department of Youth and Rehabilitation Services,DCJZ-2010-H-0021,Medical Staffing Support Services,300000,8/10/2010 -                    8/9/2011,No,Base,Open,No,No,"Stat  Medical Services, Inc. T/A Choice Professional Resources"
Department of Youth and Rehabilitation Services,DCJZ-2008-H-0016,Therapeutic Family Homes,900000,10/1/2010 -                    9/30/2011,No,2,Open,Yes,No,Youth Villages Inc
Department of Youth and Rehabilitation Services,DCJZ-2008-H-0001,Residential Treatment Services,900000,12/1/2010 -                    11/30/2011,No,Base,Open,No,No,Rite of Passage Inc
Department of Youth Rehabilitation Services,PO-JA-2002-C-0023,Expert Consulting services,41152,2/13/2002 -                    8/13/2002,No,Base,Single Available Source,No,No,Dr. Margaret Beyer
Department of Youth Rehabilitation Services,2009-AA-NS-3-VB,Community Based Services: Intensive Supervision Services,102960,2/17/2002 -                    1/16/2003,No,1,Open,No,Local                                     Small,Re-Direct Inc
Department of Youth Rehabilitation Services,2009-AA-NS-5-VB,Community Based Services: Intensive Supervision Services,328320,2/21/2002 -                    2/20/2003,No,1,Open,No,No,Cornell Abraxas Group
Department of Youth Rehabilitation Services,2009-AA-NS-7-VB,Community Based Services: Intensive Supervision Services,360000,2/21/2002 -                    2/20/2003,No,1,Open,No,No,Family Trauma Services Inc
Department of Youth Rehabilitation Services,2009-AA-NS-6-VB,Community Based Services: Intensive Supervision Services,328000,3/6/2002 -                    3/5/2003,No,1,Open,Yes,No,Consortium for Youth Services Inc
Department of Youth Rehabilitation Services,PO-JA-2002-C-0023,Memorandum Order B Expert Consulting services,41152,3/12/2002 -                    7/12/2002,No,Base,Sole Source,No,No,Dr. Margaret Beyer
Department of Youth Rehabilitation Services,2009-AA-NS-12-VB,Community Based Services: Home-Based Counseling & Support,426000,3/13/2002 -                    3/12/2003,No,1,Open,No,No,Cornell Abraxas Group
Department of Youth Rehabilitation Services,2009-AA-NS-13-VB,Community Based Services: Home-Based Counseling & Support,447760,3/13/2002 -                    3/12/2003,No,1,Open,Yes,No,Progressive Life Center Inc
Department of Youth Rehabilitation Services,2009-AA-NS-11-VB,Community Based Services: Home-Based Counseling & Support,264640,3/13/2002 -                    3/12/2003,No,1,Open,Yes,No,Sasha Bruce Youthworks Inc
Department of Youth Rehabilitation Services,2009-AA-NS-9-VB,Community Based Services: Mentoring Services,160368,4/18/2002 -                    4/17/2003,No,1,Open,No,No,Family Trauma Services Inc
Department of Youth Rehabilitation Services,2009-AA-NS-10-VB,Community Based Services: Mentoring Services,160368,4/18/2002 -                    4/17/2003,No,1,Open,No,Local                                     Small,Re-Direct Inc
Department of Youth Rehabilitation Services,2009-AA-NS-5-VB,Community Based Services: Mentoring Services,196560,4/30/2002 -                    4/29/2003,No,1,Open,No,No,Cornell Abraxas Group
Department of Youth Rehabilitation Services,PO-JA-2001-C-0013,Janitorial Services,333402,8/20/2002 -                    9/19/2003,No,1,Set Aside,No,Local                                     Small                                     Disadvantaged                                     Resident,IIU Consulting Institute Inc
Department of Youth Rehabilitation Services,PO-JA-2000-C-0001,Expressive Art Therapy Services,206000,9/1/2002 -                    8/31/2003,No,2,Open,No,Local                                     Small                                     Disadvantaged                                     Resident,Dramatic Solutions Inc
Department of Youth Rehabilitation Services,POJA-2003-R-0030,Absconder Prevention/Location and Supportive Training Services,99639.61,11/4/2002 -                    5/3/2003,No,Base,Open,Yes,No,Children's Trust Neighborhood Initiative
Department of Youth Rehabilitation Services,PO-JA-2003-C-0038,Jerry M. Consent Decree  Technical Assistance and Consultation,411922.37,12/20/2002 -                    8/20/2003,No,Base,Single Available Source,No,No,WCT Management Services Inc
Department of Youth Rehabilitation Services,2009-AA-NS-12-VB,Community Based Services:  Home-Based Counseling & Support,462400,3/13/2003 -                    3/12/2004,Yes,2,Open,Yes,No,Cornell Abraxas Group
Department of Youth Rehabilitation Services,2009-AA-NS-13-VB,Community Based Services:  Home-Based Counseling & Support,462400,3/13/2003 -                    3/12/2004,Yes,2,Open,Yes,No,Progressive Life Center Inc
